Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT18x100,1,2450AT18A100E,
"C1, C3",0603,2,10uF,C15525
"C10, C4, C7, C9",0603,4,0.1u,
"C11, C21, C5, C6",0402,4,1u,
C13,0603,1,22uF,C59461
"C14, C2",0402,2,0.1uF,C1525
"C15, C16",01005,2,22pF,
"C17, C18",0201,2,1.5pF,
"C20, C23",0402,2,4.7uF,C15525
C8,01005,1,10n,
D1,SOD2512X110N,1,PESD3V3L1BAF,
"D2, D3",0201,2,LED,
D7,PESD3V3L5UF115,1,"PRTR5V0U2F,115",
IC1,SON50P300X200X100-9N-D,1,MCP73831T-2ACI_MC,
IC2,XC6220B331ER-G,1,XC6220B331ERG,
J1,USB_C_GT-USB-8012A,1,USB_C_GT-USB-8012A,
L1,01005,1,2n,
L2,0201,1,24nH,
L3,0201,1,2.7nH,
"R1, R2",0402,2,5.1K,C25905
"R10, R11, R12, R13, R14, R15, R9",0201,7,510R,
"R16, R17",0201,2,220R,
"R18, R3, R4, R7, R8",0402,5,10K,C25744
"R5, R6",0201,2,22R,
TP1,TestPoint_Pad_D1.0mm,1,RST,
TP11,TOUCH_PAD_1,1,TOUCH_PAD_1,
TP12,TOUCH_PAD_2,1,TOUCH_PAD_1,
TP13,TOUCH_PAD_3,1,TOUCH_PAD_1,
TP14,TOUCH_PAD_4,1,TOUCH_PAD_1,
TP15,TOUCH_PAD_5,1,TOUCH_PAD_1,
TP16,TOUCH_PAD_6,1,TOUCH_PAD_1,
"TP17, TP18",TestPoint_Pad_D1.5mm,2,TestPoint,
TP2,TestPoint_Pad_D1.0mm,1,RST-G,
TP8,TestPoint_Pad_D1.0mm,1,BOOT,
U6,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S3,
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHZ,
