Designator,Mid X,Mid Y,Rotation,Layer
AE1,179.689946,-85.117627,315.0,top
C1,175.24,-79.326263,180.0,top
C10,163.2194,-83.576802,270.0,top
C11,167.77869,-70.4,90.0,top
C13,175.24,-81.842803,0.0,top
C14,175.761994,-83.19808,0.0,top
C15,157.952609,-78.706557,180.0,top
C16,160.168535,-74.334894,0.0,top
C17,173.094368,-86.372213,135.0,top
C18,174.084199,-84.577551,180.0,top
C2,175.761994,-78.0,180.0,top
C20,171.838401,-79.771843,0.0,top
C21,159.088665,-69.523469,180.0,top
C3,160.889915,-83.746802,270.0,top
C4,159.080713,-73.0,180.0,top
C5,162.323126,-81.18525,180.0,top
C6,159.602354,-83.186802,270.0,top
C7,169.059095,-70.4,90.0,top
C8,162.696294,-80.275298,180.0,top
C9,158.304341,-83.576802,270.0,top
D1,172.5,-77.5,180.0,top
D2,174.97675,-76.0675,90.0,bottom
D3,174.97675,-78.0,90.0,bottom
D7,173.530647,-74.374529,90.0,top
IC2,171.55,-82.0,0.0,top
J1,177.45,-77.0,90.0,top
L1,161.99378,-82.696802,90.0,top
L2,160.168535,-78.706557,0.0,top
L3,174.18309,-85.90607,225.0,top
R1,175.761994,-80.615277,180.0,top
R10,166.148256,-82.0,270.0,top
R11,166.986192,-82.0,270.0,top
R12,167.824128,-82.0,270.0,top
R13,168.662064,-82.0,270.0,top
R14,169.5,-82.0,270.0,top
R15,171.504959,-78.651622,0.0,top
R16,173.5,-76.0,180.0,top
R17,175.5,-77.0,180.0,top
R2,174.5,-72.39,180.0,top
R3,159.088665,-70.574843,0.0,top
R4,159.088665,-71.602853,0.0,top
R5,171.598852,-73.842857,0.0,top
R6,171.598852,-74.842857,0.0,top
R7,161.306139,-73.75746,90.0,top
R9,165.31032,-82.0,270.0,top
TP11,163.5,-82.5,0.0,bottom
TP12,154.0,-82.5,0.0,bottom
TP13,144.5,-82.5,0.0,bottom
TP14,154.0,-71.75,0.0,bottom
TP15,163.5,-71.75,0.0,bottom
TP16,144.5,-71.75,0.0,bottom
U6,166.4,-76.0,180.0,top
X1,159.080713,-76.5,0.0,top
