Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT18x100,1,2450AT18A100E,
"C1, C3_2, C3",0603,3,10uF,C15525
"C10_2, C14, C2, C7_2, C9_2",0402,5,0.1uF,C1525
"C10, C4_2, C4, C7, C9",0603,5,0.1u,
"C11_2, C11, C21_2, C21, C5_2, C5, C6_2, C6",0402,8,1u,
"C13_2, C13",0603,2,22uF,C59461
"C15_2, C15, C16_2, C16",01005,4,22pF,
"C17, C18",0201,2,1.5pF,
"C20_2, C20, C23",0402,3,4.7uF,C15525
"C8_2, C8",01005,2,10n,
"D1_2, D1",SOD2512X110N,2,PESD3V3L1BAF,
"D2_2, D2, D3_2, D3",0201,4,LED,
"D7_2, D7",PESD3V3L5UF115,2,"PRTR5V0U2F,115",
IC1,SON50P300X200X100-9N-D,1,MCP73831T-2ACI_MC,
IC2_2,XC6220B331ER-G,1,XC6220B331ER-G,
IC2,XC6220B331ER-G,1,XC6220B331ERG,
"J1_2, J1",USB_C_GT-USB-8012A,2,USB_C_GT-USB-8012A,
"L1_2, L1",01005,2,2n,
"L2_2, L2",0201,2,24nH,
L3,0201,1,2.7nH,
"R1_2, R2_2",0201,2,5.1K,C25905
"R1, R2",0402,2,5.1K,C25905
"R10_2, R10, R11_2, R11, R12_2, R12, R13_2, R13, R14_2, R14, R15_2, R15, R9_2, R9",0201,14,510R,
"R16_2, R16, R17_2, R17",0201,4,220R,
"R18, R3_2, R3, R4_2, R4, R7_2, R7, R8_2, R8",0402,9,10K,C25744
"R5_2, R5, R6_2, R6",0201,4,22R,
"TP1_2, TP1",TestPoint_Pad_D1.0mm,2,RST,
"TP11_2, TP11",TOUCH_PAD_1,2,TOUCH_PAD_1,
"TP12_2, TP12",TOUCH_PAD_2,2,TOUCH_PAD_1,
"TP13_2, TP13",TOUCH_PAD_3,2,TOUCH_PAD_1,
"TP14_2, TP14",TOUCH_PAD_4,2,TOUCH_PAD_1,
"TP15_2, TP15",TOUCH_PAD_5,2,TOUCH_PAD_1,
"TP16_2, TP16",TOUCH_PAD_6,2,TOUCH_PAD_1,
"TP17, TP18",TestPoint_Pad_D1.5mm,2,TestPoint,
"TP2_2, TP2",TestPoint_Pad_D1.0mm,2,RST-G,
TP6,TestPoint_Pad_D1.0mm,1,TestPoint,
TP7,TestPoint_Pad_D1.0mm,1,BOOT-G,
"TP8_2, TP8",TestPoint_Pad_D1.0mm,2,BOOT,
"U6_2, U6",QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,2,ESP32-S3,
"X1_2, X1",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,40MHZ,
