Designator,Mid X,Mid Y,Rotation,Layer
AE1,106.029946,-83.212627,315.0,top
C1,101.58,-77.421263,180.0,top
C10_2,91.730623,-93.02505,180.0,top
C10,89.5594,-81.671802,270.0,top
C11_2,102.468901,-100.605937,270.0,top
C11,94.11869,-68.495,90.0,top
C13_2,98.580623,-105.72505,0.0,top
C13,101.58,-79.937803,0.0,top
C14,102.101994,-81.29308,0.0,top
C15_2,96.024448,-88.190059,90.0,top
C15,84.292609,-76.801557,180.0,top
C16_2,101.07483,-88.751865,270.0,top
C16,86.508535,-72.429894,0.0,top
C17,99.434368,-84.467213,135.0,top
C18,100.424199,-82.672551,180.0,top
C2,102.101994,-76.095,180.0,top
C20_2,95.293832,-102.668162,0.0,top
C20,98.178401,-77.866843,0.0,top
C21_2,82.599623,-90.61205,180.0,top
C21,85.428665,-67.618469,180.0,top
C3_2,91.544325,-90.820054,180.0,top
C3,87.229915,-81.841802,270.0,top
C4_2,103.300623,-90.61205,0.0,top
C4,85.420713,-71.095,180.0,top
C5_2,94.36722,-90.496774,90.0,top
C5,88.663126,-79.28025,180.0,top
C6_2,92.104325,-89.532493,180.0,top
C6,85.942354,-81.281802,270.0,top
C7_2,105.015623,-102.69005,270.0,top
C7,95.399095,-68.495,90.0,top
C8_2,95.277172,-90.869942,90.0,top
C8,89.036294,-78.370298,180.0,top
C9_2,93.394623,-88.32605,0.0,top
C9,84.644341,-81.671802,270.0,top
D1_2,95.293832,-101.584599,180.0,top
D1,98.84,-75.595,180.0,top
D2_2,102.382373,-95.43255,90.0,bottom
D2,101.31675,-74.1625,90.0,bottom
D3_2,102.382373,-97.36505,90.0,bottom
D3,101.31675,-76.095,90.0,bottom
D7_2,100.45254,-102.800539,0.0,top
D7,99.870647,-72.469529,90.0,top
IC2_2,94.890623,-104.45505,0.0,top
IC2,97.89,-80.095,0.0,top
J1_2,104.855623,-96.36505,90.0,top
J1,103.79,-75.095,90.0,top
L1_2,92.594325,-91.923919,0.0,top
L1,88.33378,-80.791802,90.0,top
L2_2,96.024448,-89.642994,270.0,top
L2,86.508535,-76.801557,0.0,top
L3,100.52309,-84.00107,225.0,top
R1_2,106.729623,-102.29605,270.0,top
R1,102.101994,-78.710277,180.0,top
R10_2,82.472623,-95.94605,180.0,top
R10,92.488256,-80.095,270.0,top
R11_2,74.344623,-95.94605,180.0,top
R11,93.326192,-80.095,270.0,top
R12_2,74.344623,-98.23205,180.0,top
R12,94.164128,-80.095,270.0,top
R13_2,91.362623,-100.01005,180.0,top
R13,95.002064,-80.095,270.0,top
R14_2,82.599623,-98.23205,180.0,top
R14,95.84,-80.095,270.0,top
R15_2,95.883123,-100.64505,180.0,top
R15,97.844959,-76.746622,0.0,top
R16_2,98.619818,-101.805696,90.0,top
R16,99.84,-74.095,180.0,top
R17_2,97.813518,-101.805696,90.0,top
R17,101.84,-75.095,180.0,top
R2_2,103.808623,-94.80305,90.0,top
R2,100.84,-70.485,180.0,top
R3_2,82.599623,-92.64405,0.0,top
R3,85.428665,-68.669843,0.0,top
R4_2,82.599623,-93.66005,0.0,top
R4,85.428665,-69.697853,0.0,top
R5_2,100.984212,-100.865373,270.0,top
R5,97.938852,-71.937857,0.0,top
R6_2,99.984212,-100.865373,270.0,top
R6,97.938852,-72.937857,0.0,top
R7_2,103.935623,-88.209017,0.0,top
R7,87.646139,-71.85246,90.0,top
R9_2,91.380155,-95.387481,180.0,top
R9,91.65032,-80.095,270.0,top
TP11_2,89.294819,-91.123292,0.0,bottom
TP11,89.84,-80.595,0.0,bottom
TP12_2,79.680623,-90.998292,0.0,bottom
TP12,80.34,-80.595,0.0,bottom
TP13_2,70.305623,-91.123292,0.0,bottom
TP13,70.84,-80.595,0.0,bottom
TP14_2,70.280623,-101.880834,0.0,bottom
TP14,80.34,-69.845,0.0,bottom
TP15_2,89.369669,-101.880834,0.0,bottom
TP15,89.84,-69.845,0.0,bottom
TP16_2,79.805623,-101.880834,0.0,bottom
TP16,70.84,-69.845,0.0,bottom
U6_2,98.855623,-95.56505,90.0,top
U6,92.74,-74.095,180.0,top
X1_2,98.564448,-88.751865,0.0,top
X1,85.420713,-74.595,0.0,top
