Designator,Footprint,Quantity,Value,LCSC Part #
C13,0402,1,22uF,C415703
"C15, C6",0402,2,0.1uF,C60474
"C20, C3, C4",0402,3,4.7uF,C15525
"C7, C8",0402,2,10n,
D2,D_SOD-882D,1,"PESD5V0V1BL,315",
D4,0402,1,LED-G,
D5,0402,1,LED-R,
D7,PESD3V3L5UF115,1,"PRTR5V0U2F,115",
IC2,XC6220B331ER-G,1,XC6220B331ER-G,
J1,XKB_U261-241N-4BS60_USB_C,1,U261-241N-4BS60,
"R1, R14",0402,2,220R,C2909336
"R10, R11, R12, R2, R6, R7, R8, R9",0402,8,5.1K,C2906874
"R3, R4, R5",0402,3,10K,C2906861
TP1,TestPoint_Pad_D1.0mm,1,RST,
TP11,TOUCH_PAD_1_7mm,1,TOUCH_PAD_1,
TP12,TOUCH_PAD_2_7mm,1,TOUCH_PAD_1,
TP13,TOUCH_PAD_3_7mm,1,TOUCH_PAD_1,
TP14,TOUCH_PAD_4_7mm,1,TOUCH_PAD_1,
TP15,TOUCH_PAD_5_7mm,1,TOUCH_PAD_1,
TP16,TOUCH_PAD_6_7mm,1,TOUCH_PAD_1,
TP19,TestPoint_Pad_D1.0mm,1,SWDIO,
TP2,TestPoint_Pad_D1.0mm,1,RST-G,
TP20,TestPoint_Pad_D1.0mm,1,SWCLK,
TP21,TestPoint_Pad_D1.0mm,1,GND,
TP5,TestPoint_Pad_D1.0mm,1,3.3V,
TP7,TestPoint_Pad_D1.0mm,1,BOOT-G,
TP8,TestPoint_Pad_D1.0mm,1,BOOT,
U1,QFN-28_4x4mm_P0.5mm,1,STM32F042G6U6TR,
