Designator,Mid X,Mid Y,Rotation,Layer
C13,172.52,-79.375,180.0,top
C15,172.52,-78.105,0.0,top
C20,169.545,-81.28,180.0,top
C3,172.52,-80.645,180.0,top
C4,172.52,-76.835,0.0,top
C6,167.64,-71.12,0.0,top
C7,163.83,-76.835,90.0,top
C8,169.545,-80.01,0.0,top
D2,172.5425,-84.455,0.0,top
D4,170.815,-75.565,90.0,bottom
D5,170.815,-77.8775,90.0,bottom
D7,172.515533,-75.363078,90.0,top
IC2,172.123331,-82.483733,0.0,top
J1,178.48,-76.72,90.0,top
R1,172.52,-73.66,180.0,top
R10,144.78,-73.025,180.0,top
R11,144.78,-81.28,180.0,top
R12,162.56,-81.28,180.0,top
R14,170.815,-78.105,270.0,top
R2,175.94,-71.64,0.0,top
R3,167.64,-71.953235,180.0,top
R4,167.64,-72.950928,0.0,top
R6,153.67,-81.28,180.0,top
R7,175.94,-81.8,0.0,top
R8,162.56,-73.025,180.0,top
R9,153.67,-73.025,180.0,top
TP11,160.655,-72.39,180.0,bottom
TP12,151.765,-72.39,180.0,bottom
TP13,142.875,-72.39,180.0,bottom
TP14,142.875,-81.28,180.0,bottom
TP15,160.655,-81.28,180.0,bottom
TP16,151.765,-81.28,180.0,bottom
U1,167.64,-76.835,90.0,top
