Designator,Mid X,Mid Y,Rotation,Layer
C10,164.325,-73.66,180.0,top
C11,175.063278,-81.240887,270.0,top
C13,171.175,-86.36,0.0,top
C15,168.618825,-68.825009,90.0,top
C16,173.669207,-69.386815,270.0,top
C20,167.888209,-83.303112,0.0,top
C21,155.194,-71.247,180.0,top
C3,164.138702,-71.455004,180.0,top
C4,175.895,-71.247,0.0,top
C5,166.961597,-71.131724,90.0,top
C6,164.698702,-70.167443,180.0,top
C7,177.61,-83.325,270.0,top
C8,167.871549,-71.504892,90.0,top
C9,165.989,-68.961,0.0,top
D1,167.888209,-82.219549,180.0,top
D2,174.97675,-76.0675,90.0,bottom
D3,174.97675,-78.0,90.0,bottom
D7,173.046917,-83.435489,0.0,top
IC2,167.485,-85.09,0.0,top
J1,177.45,-77.0,90.0,top
L1,165.188702,-72.558869,0.0,top
L2,168.618825,-70.277944,270.0,top
R1,179.324,-82.931,270.0,top
R10,155.067,-76.581,180.0,top
R11,146.939,-76.581,180.0,top
R12,146.939,-78.867,180.0,top
R13,163.957,-80.645,180.0,top
R14,155.194,-78.867,180.0,top
R15,168.4775,-81.28,180.0,top
R16,171.214195,-82.440646,90.0,top
R17,170.407895,-82.440646,90.0,top
R2,176.403,-75.438,90.0,top
R3,155.194,-73.279,0.0,top
R4,155.194,-74.295,0.0,top
R5,173.578589,-81.500323,270.0,top
R6,172.578589,-81.500323,270.0,top
R7,176.53,-68.843967,0.0,top
R9,163.974532,-76.022431,180.0,top
TP11,161.889196,-71.758242,0.0,bottom
TP12,152.275,-71.633242,0.0,bottom
TP13,142.9,-71.758242,0.0,bottom
TP14,142.875,-82.515784,0.0,bottom
TP15,161.964046,-82.515784,0.0,bottom
TP16,152.4,-82.515784,0.0,bottom
U6,171.45,-76.2,90.0,top
X1,171.158825,-69.386815,0.0,top
