PartNumber,widthX,lengthY,height,padY,padX,landingY,landingOutsideX,landingInsideX
PCC-M0530M,5.5,5.0,3.0,3.0,1.2,3.6,7.2,2.2
PCC-M0540M,5.5,5.0,4.0,3.0,1.2,3.6,7.2,2.2
PCC-M0630M,6.5,6.0,3.0,3.0,1.5,3.6,8.8,2.8
PCC-M0645M,6.5,6.0,4.5,3.0,1.5,3.6,8.8,2.8
PCC-M0750M,7.5,7.0,5.0,3.0,2.0,3.6,10.0,2.8
PCC-M0754M,7.5,7.0,5.4,3.0,2.0,3.6,10.0,2.8
PCC-M0850M,8.5,8.0,5.0,3.0,2.0,4.0,12.4,3.8
PCC-M0854M,8.5,8.0,5.4,3.0,2.0,4.0,12.4,3.8
PCC-M1050M,10.7,10.0,5.0,4.2,2.0,4.8,13.7,6.1
PCC-M1054M,10.7,10.0,5.4,4.2,2.0,4.8,13.7,6.1
PCC-M1040ML,10.9,10.0,4.0,4.7,2.0,5.0,12.7,5.8
PCC-M1050ML,10.9,10.0,5.0,7.3,1.8,7.9,13.9,6.5
PCC-M1060ML,10.9,10.0,6.0,7.3,1.8,7.9,13.9,6.5
